COMMUNITY,ASSAULT,BATTERY,BURGLARY,CRIMINAL DAMAGE,CRIMINAL TRESPASS,DECEPTIVE PRACTICE,MOTOR VEHICLE THEFT,NARCOTICS,OTHER,OTHER OFFENSE,ROBBERY,THEFT
ALBANY PARK,123,429,147,287,38,137,176,27,107,158,144,690
ARCHER HEIGHTS,51,134,92,114,23,67,50,18,37,44,30,180
ARMOUR SQUARE,74,184,55,99,56,59,37,9,48,35,98,263
ASHBURN,169,448,194,379,43,178,189,30,114,164,111,461
AUBURN GRESHAM,708,1681,339,859,228,310,281,345,584,590,349,1201
AUSTIN,1198,3347,517,1666,265,767,732,1456,1261,1130,829,2137
AVALON PARK,118,280,76,150,29,73,58,15,76,94,65,239
AVONDALE,135,350,145,310,36,200,123,22,88,142,109,669
BELMONT CRAGIN,337,850,327,528,88,314,411,119,238,339,172,846
BEVERLY,63,97,64,129,29,89,42,10,22,77,24,236
BRIDGEPORT,105,217,133,205,27,96,62,35,68,119,54,373
BRIGHTON PARK,182,477,131,309,35,95,92,98,171,170,130,311
BURNSIDE,37,80,26,53,1,15,15,19,38,36,7,38
CALUMET HEIGHTS,108,230,86,197,34,84,89,30,64,117,70,243
CHATHAM,540,1282,320,681,219,366,232,178,317,454,297,1481
CHICAGO LAWN,459,1227,420,742,126,288,254,221,357,445,280,900
CLEARING,54,154,68,168,14,69,33,25,33,79,16,176
DOUGLAS,205,540,72,220,123,195,92,52,88,146,157,714
DUNNING,104,296,119,210,37,140,63,22,59,133,29,294
EAST GARFIELD PARK,376,1144,129,430,191,148,201,645,341,308,246,569
EAST SIDE,101,263,54,225,24,59,45,38,94,103,17,183
EDGEWATER,134,440,107,236,97,291,89,32,75,137,92,881
EDISON PARK,20,45,4,36,12,31,9,2,15,30,3,64
ENGLEWOOD,574,1482,229,650,134,182,197,311,613,469,259,800
FOREST GLEN,38,50,47,59,27,74,26,6,17,35,8,157
FULLER PARK,85,158,22,88,33,48,43,32,57,43,59,210
GAGE PARK,158,444,153,287,37,102,134,78,146,167,162,423
GARFIELD RIDGE,110,290,121,262,53,212,124,59,98,137,57,391
GRAND BOULEVARD,286,743,163,386,74,188,176,126,188,250,186,643
GREATER GRAND CROSSING,636,1585,332,773,148,244,248,214,425,479,393,960
HEGEWISCH,62,129,43,106,15,40,33,6,46,46,11,129
HERMOSA,105,281,105,158,27,80,120,29,96,137,57,304
HUMBOLDT PARK,660,1567,324,808,152,311,393,1146,582,475,401,1208
HYDE PARK,95,209,101,135,24,166,65,7,65,118,98,623
IRVING PARK,164,466,208,395,58,237,192,29,111,210,112,804
JEFFERSON PARK,70,155,57,130,25,121,49,22,41,92,18,264
KENWOOD,126,253,54,180,36,114,67,8,58,115,102,402
LAKE VIEW,210,758,311,402,169,736,209,39,157,211,236,2260
LINCOLN PARK,134,375,209,390,84,483,176,30,89,96,148,2233
LINCOLN SQUARE,125,288,109,200,70,209,87,32,70,110,64,616
LOGAN SQUARE,302,664,318,525,87,373,260,60,148,245,262,1792
LOOP,453,916,105,409,247,1515,147,74,211,228,388,5870
LOWER WEST SIDE,222,529,201,373,78,120,112,40,145,158,113,515
MCKINLEY PARK,82,141,74,153,26,60,50,64,52,67,44,235
MONTCLARE,35,141,41,94,10,39,33,10,17,61,21,106
MORGAN PARK,153,397,116,286,51,150,80,33,114,162,61,489
MOUNT GREENWOOD,43,90,21,67,25,72,18,4,32,44,7,159
NEAR NORTH SIDE,459,1388,240,637,357,1749,336,137,326,311,414,5879
NEAR SOUTH SIDE,94,300,61,154,85,286,90,18,66,112,93,554
NEAR WEST SIDE,587,1177,307,881,232,764,411,163,277,406,458,3334
NEW CITY,414,1037,191,506,95,166,203,228,374,367,210,828
NORTH CENTER,59,114,126,125,42,178,59,19,41,61,52,537
NORTH LAWNDALE,648,2016,267,840,281,239,363,1610,775,610,391,961
NORTH PARK,54,134,67,99,32,56,61,17,35,54,26,321
NORWOOD PARK,79,171,70,138,34,136,32,17,47,91,14,257
OAKLAND,62,123,22,110,22,36,36,0,23,66,27,143
OHARE,86,196,16,94,153,248,74,130,71,91,6,490
PORTAGE PARK,240,558,234,416,76,268,238,77,121,257,72,788
PULLMAN,96,171,48,110,26,50,50,33,95,104,29,277
RIVERDALE,143,381,48,161,43,36,53,39,103,144,44,149
ROGERS PARK,267,703,182,584,179,259,124,67,165,215,168,1209
ROSELAND,615,1449,406,918,188,308,255,293,541,589,331,1012
SOUTH CHICAGO,410,1097,249,580,111,184,181,167,341,391,167,662
SOUTH DEERING,170,347,63,197,40,98,75,52,122,138,50,394
SOUTH LAWNDALE,391,939,193,570,71,133,245,176,381,342,210,846
SOUTH SHORE,781,2156,564,984,197,435,317,236,498,650,466,1330
UPTOWN,276,660,160,317,118,385,108,68,169,209,103,963
WASHINGTON HEIGHTS,213,603,194,408,81,166,146,64,198,248,138,606
WASHINGTON PARK,249,713,136,356,54,98,116,47,172,182,165,418
WEST ELSDON,52,135,94,166,19,71,55,19,34,70,63,235
WEST ENGLEWOOD,586,1625,317,888,149,259,201,498,650,516,295,931
WEST GARFIELD PARK,401,1116,134,496,156,172,215,987,499,278,310,582
WEST LAWN,109,254,124,282,31,121,93,53,89,120,87,498
WEST PULLMAN,381,895,190,584,94,175,136,141,318,384,147,530
WEST RIDGE,241,588,193,485,124,284,194,51,135,239,116,915
WEST TOWN,439,963,651,889,174,592,443,76,217,304,425,3096
WOODLAWN,342,855,324,497,82,145,121,120,236,301,205,596
